Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1986;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;-;Número;
1986;Total abortos voluntarios de mujeres residentes;Otros;;;148;Número;
1986;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;-;Número;
1987;Total abortos voluntarios de mujeres residentes;Otros;;;5379;Número;
1987;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;-;Número;
1988;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;941;Número;
1988;Total abortos voluntarios de mujeres residentes;Otros;;;7063;Número;
1988;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;936;Número;
1988;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;1592;Número;
1988;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;1886;Número;
1988;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1310;Número;
1988;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;360;Número;
1988;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;27;Número;
1988;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;11;Número;
1989;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;52;Número;
1989;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;470;Número;
1989;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1085;Número;
1989;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1479;Número;
1989;Total abortos voluntarios de mujeres residentes;Otros;;;8238;Número;
1989;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;1796;Número;
1989;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2204;Número;
1989;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1137;Número;
1989;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;15;Número;
1990;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;40;Número;
1990;Total abortos voluntarios de mujeres residentes;Otros;;;7541;Número;
1990;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2064;Número;
1990;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;1729;Número;
1990;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;978;Número;
1990;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;913;Número;
1990;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;446;Número;
1990;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;7;Número;
1990;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1364;Número;
1991;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;1782;Número;
1991;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;34;Número;
1991;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;839;Número;
1991;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1380;Número;
1991;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2157;Número;
1991;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;8;Número;
1991;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;399;Número;
1991;Total abortos voluntarios de mujeres residentes;Otros;;;7571;Número;
1991;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;972;Número;
1992;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1469;Número;
1992;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2267;Número;
1992;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;434;Número;
1992;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;1877;Número;
1992;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;943;Número;
1992;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;35;Número;
1992;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;17;Número;
1992;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1105;Número;
1992;Total abortos voluntarios de mujeres residentes;Otros;;;8147;Número;
1993;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1283;Número;
1993;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;903;Número;
1993;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;376;Número;
1993;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;32;Número;
1993;Total abortos voluntarios de mujeres residentes;Otros;;;7131;Número;
1993;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;10;Número;
1993;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;773;Número;
1993;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2020;Número;
1993;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;1734;Número;
1994;Total abortos voluntarios de mujeres residentes;Otros;;;8223;Número;
1994;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;431;Número;
1994;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;2034;Número;
1994;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1498;Número;
1994;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2178;Número;
1994;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;8;Número;
1994;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;35;Número;
