Comunidades y Ciudades Autónomas;Situación sentimental;Tiene hijos;Intención de tener hijos;Total
Total Nacional;Total;Total;Total;11.926.861
Total Nacional;Total;Total;Tiene intención de tener hijos;2.290.661
Total Nacional;Total;Total;No tiene intención de tener hijos;9.636.200
Total Nacional;Total;Sin hijos;Total;4.815.743
Total Nacional;Total;Sin hijos;Tiene intención de tener hijos;1.419.531
Total Nacional;Total;Sin hijos;No tiene intención de tener hijos;3.396.213
Total Nacional;Total;Con hijos;Total;7.111.118
Total Nacional;Total;Con hijos;Tiene intención de tener hijos;871.130
Total Nacional;Total;Con hijos;No tiene intención de tener hijos;6.239.988
Total Nacional;Sin pareja;Total;Total;3.202.818
Total Nacional;Sin pareja;Total;Tiene intención de tener hijos;494.374
Total Nacional;Sin pareja;Total;No tiene intención de tener hijos;2.708.444
Total Nacional;Sin pareja;Sin hijos;Total;2.263.406
Total Nacional;Sin pareja;Sin hijos;Tiene intención de tener hijos;420.460
Total Nacional;Sin pareja;Sin hijos;No tiene intención de tener hijos;1.842.946
Total Nacional;Sin pareja;Con hijos;Total;939.412
Total Nacional;Sin pareja;Con hijos;Tiene intención de tener hijos;73.914
Total Nacional;Sin pareja;Con hijos;No tiene intención de tener hijos;865.498
Total Nacional;Pareja con la que convive;Total;Total;7.119.275
Total Nacional;Pareja con la que convive;Total;Tiene intención de tener hijos;1.351.038
Total Nacional;Pareja con la que convive;Total;No tiene intención de tener hijos;5.768.237
Total Nacional;Pareja con la que convive;Sin hijos;Total;1.261.533
Total Nacional;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;605.314
Total Nacional;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;656.219
Total Nacional;Pareja con la que convive;Con hijos;Total;5.857.742
Total Nacional;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;745.724
Total Nacional;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;5.112.018
Total Nacional;Pareja con la que no convive;Total;Total;1.604.768
Total Nacional;Pareja con la que no convive;Total;Tiene intención de tener hijos;445.249
Total Nacional;Pareja con la que no convive;Total;No tiene intención de tener hijos;1.159.519
Total Nacional;Pareja con la que no convive;Sin hijos;Total;1.290.804
Total Nacional;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;393.757
Total Nacional;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;897.047
Total Nacional;Pareja con la que no convive;Con hijos;Total;313.964
Total Nacional;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;51.492
Total Nacional;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;262.472
01 Andalucía;Total;Total;Total;2.192.679
01 Andalucía;Total;Total;Tiene intención de tener hijos;407.955
01 Andalucía;Total;Total;No tiene intención de tener hijos;1.784.724
01 Andalucía;Total;Sin hijos;Total;854.280
01 Andalucía;Total;Sin hijos;Tiene intención de tener hijos;249.536
01 Andalucía;Total;Sin hijos;No tiene intención de tener hijos;604.744
01 Andalucía;Total;Con hijos;Total;1.338.399
01 Andalucía;Total;Con hijos;Tiene intención de tener hijos;158.419
01 Andalucía;Total;Con hijos;No tiene intención de tener hijos;1.179.980
01 Andalucía;Sin pareja;Total;Total;569.718
01 Andalucía;Sin pareja;Total;Tiene intención de tener hijos;92.373
01 Andalucía;Sin pareja;Total;No tiene intención de tener hijos;477.345
01 Andalucía;Sin pareja;Sin hijos;Total;406.555
01 Andalucía;Sin pareja;Sin hijos;Tiene intención de tener hijos;74.981
01 Andalucía;Sin pareja;Sin hijos;No tiene intención de tener hijos;331.573
01 Andalucía;Sin pareja;Con hijos;Total;163.164
01 Andalucía;Sin pareja;Con hijos;Tiene intención de tener hijos;17.392
01 Andalucía;Sin pareja;Con hijos;No tiene intención de tener hijos;145.772
01 Andalucía;Pareja con la que convive;Total;Total;1.308.019
01 Andalucía;Pareja con la que convive;Total;Tiene intención de tener hijos;218.932
01 Andalucía;Pareja con la que convive;Total;No tiene intención de tener hijos;1.089.086
01 Andalucía;Pareja con la que convive;Sin hijos;Total;191.535
01 Andalucía;Pareja con la que convive;Sin hijos;Tiene intención de tener hijos;86.160
01 Andalucía;Pareja con la que convive;Sin hijos;No tiene intención de tener hijos;105.374
01 Andalucía;Pareja con la que convive;Con hijos;Total;1.116.484
01 Andalucía;Pareja con la que convive;Con hijos;Tiene intención de tener hijos;132.772
01 Andalucía;Pareja con la que convive;Con hijos;No tiene intención de tener hijos;983.712
01 Andalucía;Pareja con la que no convive;Total;Total;314.942
01 Andalucía;Pareja con la que no convive;Total;Tiene intención de tener hijos;96.650
01 Andalucía;Pareja con la que no convive;Total;No tiene intención de tener hijos;218.292
01 Andalucía;Pareja con la que no convive;Sin hijos;Total;256.191
01 Andalucía;Pareja con la que no convive;Sin hijos;Tiene intención de tener hijos;88.395
01 Andalucía;Pareja con la que no convive;Sin hijos;No tiene intención de tener hijos;167.796
01 Andalucía;Pareja con la que no convive;Con hijos;Total;58.751
01 Andalucía;Pareja con la que no convive;Con hijos;Tiene intención de tener hijos;8.255
01 Andalucía;Pareja con la que no convive;Con hijos;No tiene intención de tener hijos;50.496
02 Aragón;Total;Total;Total;317.547
02 Aragón;Total;Total;Tiene intención de tener hijos;52.638
02 Aragón;Total;Total;No tiene intención de tener hijos;264.909
02 Aragón;Total;Sin hijos;Total;124.774
