Nacionalidad;Orden de nacimiento;Totales Territoriales;Periodo;Total
Española;Primero;Total Nacional;2024;52,70
Española;Primero;Total Nacional;2023;52,42
Española;Primero;Total Nacional;2022;52,56
Española;Segundo;Total Nacional;2024;36,64
Española;Segundo;Total Nacional;2023;36,78
Española;Segundo;Total Nacional;2022;36,22
Española;Tercero;Total Nacional;2024;7,94
Española;Tercero;Total Nacional;2023;8,07
Española;Tercero;Total Nacional;2022;8,48
Española;Cuarto y más;Total Nacional;2024;2,72
Española;Cuarto y más;Total Nacional;2023;2,72
Española;Cuarto y más;Total Nacional;2022;2,74
Extranjera;Primero;Total Nacional;2024;44,92
Extranjera;Primero;Total Nacional;2023;43,71
Extranjera;Primero;Total Nacional;2022;43,74
Extranjera;Segundo;Total Nacional;2024;33,43
Extranjera;Segundo;Total Nacional;2023;33,84
Extranjera;Segundo;Total Nacional;2022;32,81
Extranjera;Tercero;Total Nacional;2024;13,92
Extranjera;Tercero;Total Nacional;2023;14,69
Extranjera;Tercero;Total Nacional;2022;15,34
Extranjera;Cuarto y más;Total Nacional;2024;7,73
Extranjera;Cuarto y más;Total Nacional;2023;7,77
Extranjera;Cuarto y más;Total Nacional;2022;8,12
