Comunidades y Ciudades Autónomas;Nacionalidad;Edad;Periodo;Total
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2024;0,07
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2023;0,06
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2022;0,06
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2021;0,05
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2020;0,05
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2019;0,07
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2018;0,06
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2017;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2016;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2015;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2014;0,12
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2013;0,13
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2012;0,13
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2011;0,14
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2010;0,12
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2009;0,12
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2008;0,17
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2007;0,14
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2006;0,16
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2005;0,15
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2004;0,14
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2003;0,16
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2002;0,12
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2001;0,11
Total Nacional;Ambas nacionalidades;De 10 a 14 años;2000;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1999;0,08
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1998;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1997;0,07
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1996;0,08
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1995;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1994;0,08
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1993;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1992;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1991;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1990;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1989;0,11
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1988;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1987;0,1
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1986;0,09
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1985;0,13
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1984;0,17
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1983;0,21
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1982;0,23
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1981;0,24
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1980;0,23
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1979;0,24
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1978;0,21
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1977;0,2
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1976;0,17
Total Nacional;Ambas nacionalidades;De 10 a 14 años;1975;0,16
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2024;4,2
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2023;4,31
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2022;4,61
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2021;4,61
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2020;5,36
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2019;5,99
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2018;6,26
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2017;7,07
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2016;7,36
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2015;7,74
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2014;8,09
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2013;8,38
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2012;8,99
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2011;9,51
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2010;10,61
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2009;11,83
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2008;13,26
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2007;12,82
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2006;12,01
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2005;11,35
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2004;10,75
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2003;10,55
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2002;9,86
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2001;9,66
Total Nacional;Ambas nacionalidades;De 15 a 19 años;2000;8,78
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1999;8,34
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1998;7,64
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1997;7,57
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1996;7,22
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1995;7,51
Total Nacional;Ambas nacionalidades;De 15 a 19 años;1994;8,05
