Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1986;Abortos voluntarios de mujeres residentes entre 13 y 16 semanas de gestación;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes de los que no consta las semanas de gestación;Otros;;;6;Número;
1986;Abortos voluntarios de mujeres residentes entre 21 semanas y más de gestación;Otros;;;1;Número;
1986;Abortos voluntarios de mujeres residentes de 23 o más semanas de gestación;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 15 y 22 semanas de gestación;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 9 y  14 semanas de gestación;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 13 y 15 semanas de gestación;Otros;;;3;Número;
1986;Abortos voluntarios de mujeres residentes entre 9 y 12 semanas de gestación;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 11 y 12 semanas de gestación;Otros;;;31;Número;
1986;Abortos voluntarios de mujeres residentes entre 9 y 10 semanas de gestación;Otros;;;48;Número;
1986;Abortos voluntarios de mujeres residentes de 8 o menos semanas de gestación;Otros;;;57;Número;
1986;Abortos voluntarios de mujeres residentes entre 17 y 20 semanas de gestación;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes entre 16 y 20 semanas de gestación;Otros;;;2;Número;
1987;Abortos voluntarios de mujeres residentes entre 9 y 10 semanas de gestación;Otros;;;1655;Número;
1987;Abortos voluntarios de mujeres residentes entre 13 y 16 semanas de gestación;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes entre 16 y 20 semanas de gestación;Otros;;;40;Número;
1987;Abortos voluntarios de mujeres residentes entre 21 semanas y más de gestación;Otros;;;19;Número;
1987;Abortos voluntarios de mujeres residentes entre 17 y 20 semanas de gestación;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes entre 15 y 22 semanas de gestación;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes de 8 o menos semanas de gestación;Otros;;;2792;Número;
1987;Abortos voluntarios de mujeres residentes entre 9 y  14 semanas de gestación;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes de los que no consta las semanas de gestación;Otros;;;61;Número;
1987;Abortos voluntarios de mujeres residentes entre 13 y 15 semanas de gestación;Otros;;;138;Número;
