Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1986;Abortos voluntarios de mujeres residentes por violación;Otros;;;1;Número;
1986;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;137;Número;
1986;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;1;Número;
1986;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;1;Número;
1986;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1986;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;8;Número;
1987;Abortos voluntarios de mujeres residentes por violación;Otros;;;4;Número;
1987;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;14;Número;
1987;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;22;Número;
1987;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;5264;Número;
1987;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1987;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;75;Número;
1987;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1988;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;85;Número;
1988;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1988;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1988;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;43;Número;
1988;Abortos voluntarios de mujeres residentes por violación;Otros;;;0;Número;
1988;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;8;Número;
1988;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1988;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1988;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;6927;Número;
1989;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1989;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1989;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1989;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;4;Número;
1989;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1989;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;36;Número;
1989;Abortos voluntarios de mujeres residentes por violación;Otros;;;3;Número;
1989;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;117;Número;
1989;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;8078;Número;
1990;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1990;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1990;Abortos voluntarios de mujeres residentes por violación;Otros;;;1;Número;
1990;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;11;Número;
1990;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1990;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;143;Número;
1990;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;8;Número;
1990;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1990;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;7378;Número;
1991;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;23;Número;
1991;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;2;Número;
1991;Abortos voluntarios de mujeres residentes por violación;Otros;;;2;Número;
1991;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;7404;Número;
1991;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1991;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1991;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1991;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1991;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;140;Número;
1992;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
1992;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;8035;Número;
1992;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1992;Abortos voluntarios de mujeres residentes por violación;Otros;;;6;Número;
1992;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1992;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1992;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1992;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;106;Número;
1992;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
1993;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;5;Número;
1993;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1993;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1993;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1993;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1993;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;7035;Número;
1993;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;85;Número;
1993;Abortos voluntarios de mujeres residentes por violación;Otros;;;6;Número;
1993;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
1994;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1994;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1994;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;1;Número;
1994;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;21;Número;
1994;Abortos voluntarios de mujeres residentes por violación;Otros;;;4;Número;
1994;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;8093;Número;
1994;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1994;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;104;Número;
1994;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1995;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1995;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1995;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;8202;Número;
1995;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;9;Número;
1995;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;37;Número;
1995;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;109;Número;
1995;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1995;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1995;Abortos voluntarios de mujeres residentes por violación;Otros;;;3;Número;
1996;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1996;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1996;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;22;Número;
1996;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
1996;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1996;Abortos voluntarios de mujeres residentes por violación;Otros;;;3;Número;
1996;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;129;Número;
1996;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;8673;Número;
1996;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1997;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;18;Número;
1997;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;3;Número;
1997;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;8752;Número;
1997;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1997;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;107;Número;
1997;Abortos voluntarios de mujeres residentes por violación;Otros;;;3;Número;
1997;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1997;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1997;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1998;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;8971;Número;
1998;Abortos voluntarios de mujeres residentes por violación;Otros;;;13;Número;
1998;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;30;Número;
1998;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1998;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1998;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1998;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1998;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
1998;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;145;Número;
1999;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
1999;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
1999;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;168;Número;
1999;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
1999;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;10485;Número;
1999;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
1999;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;32;Número;
1999;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
1999;Abortos voluntarios de mujeres residentes por violación;Otros;;;9;Número;
2000;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;7;Número;
2000;Abortos voluntarios de mujeres residentes por violación;Otros;;;19;Número;
2000;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2000;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;21;Número;
2000;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2000;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;10607;Número;
2000;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;208;Número;
2000;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2000;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2001;Abortos voluntarios de mujeres residentes por violación;Otros;;;39;Número;
2001;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2001;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;194;Número;
2001;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2001;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2001;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;12351;Número;
2001;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2001;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;27;Número;
2001;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2002;Abortos voluntarios de mujeres residentes por violación;Otros;;;12;Número;
2002;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;311;Número;
2002;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;14340;Número;
2002;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2002;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;24;Número;
2002;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2002;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2002;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
