Totales Territoriales;Nacionalidad;Orden de nacimiento;Periodo;Total
Total Nacional;Ambas nacionalidades;Todos;2024;1,1
Total Nacional;Ambas nacionalidades;Todos;2023;1,12
Total Nacional;Ambas nacionalidades;Todos;2022;1,16
Total Nacional;Ambas nacionalidades;Todos;2021;1,18
Total Nacional;Ambas nacionalidades;Todos;2020;1,18
Total Nacional;Ambas nacionalidades;Todos;2019;1,23
Total Nacional;Ambas nacionalidades;Todos;2018;1,26
Total Nacional;Ambas nacionalidades;Todos;2017;1,31
Total Nacional;Ambas nacionalidades;Todos;2016;1,33
Total Nacional;Ambas nacionalidades;Todos;2015;1,33
Total Nacional;Ambas nacionalidades;Todos;2014;1,32
Total Nacional;Ambas nacionalidades;Todos;2013;1,27
Total Nacional;Ambas nacionalidades;Todos;2012;1,32
Total Nacional;Ambas nacionalidades;Todos;2011;1,34
Total Nacional;Ambas nacionalidades;Todos;2010;1,37
Total Nacional;Ambas nacionalidades;Todos;2009;1,38
Total Nacional;Ambas nacionalidades;Todos;2008;1,44
Total Nacional;Ambas nacionalidades;Todos;2007;1,38
Total Nacional;Ambas nacionalidades;Todos;2006;1,36
Total Nacional;Ambas nacionalidades;Todos;2005;1,33
Total Nacional;Ambas nacionalidades;Todos;2004;1,32
Total Nacional;Ambas nacionalidades;Todos;2003;1,3
Total Nacional;Ambas nacionalidades;Todos;2002;1,25
Total Nacional;Ambas nacionalidades;Todos;2001;1,24
Total Nacional;Ambas nacionalidades;Todos;2000;1,21
Total Nacional;Ambas nacionalidades;Todos;1999;1,16
Total Nacional;Ambas nacionalidades;Todos;1998;1,13
Total Nacional;Ambas nacionalidades;Todos;1997;1,15
Total Nacional;Ambas nacionalidades;Todos;1996;1,14
Total Nacional;Ambas nacionalidades;Todos;1995;1,16
Total Nacional;Ambas nacionalidades;Todos;1994;1,19
Total Nacional;Ambas nacionalidades;Todos;1993;1,26
Total Nacional;Ambas nacionalidades;Todos;1992;1,31
Total Nacional;Ambas nacionalidades;Todos;1991;1,33
Total Nacional;Ambas nacionalidades;Todos;1990;1,36
Total Nacional;Ambas nacionalidades;Todos;1989;1,4
Total Nacional;Ambas nacionalidades;Todos;1988;1,45
Total Nacional;Ambas nacionalidades;Todos;1987;1,49
Total Nacional;Ambas nacionalidades;Todos;1986;1,55
Total Nacional;Ambas nacionalidades;Todos;1985;1,64
Total Nacional;Ambas nacionalidades;Todos;1984;1,72
Total Nacional;Ambas nacionalidades;Todos;1983;1,8
Total Nacional;Ambas nacionalidades;Todos;1982;1,94
Total Nacional;Ambas nacionalidades;Todos;1981;2,04
Total Nacional;Ambas nacionalidades;Todos;1980;2,21
Total Nacional;Ambas nacionalidades;Todos;1979;2,37
Total Nacional;Ambas nacionalidades;Todos;1978;2,54
Total Nacional;Ambas nacionalidades;Todos;1977;2,65
Total Nacional;Ambas nacionalidades;Todos;1976;2,77
Total Nacional;Ambas nacionalidades;Todos;1975;2,77
Total Nacional;Ambas nacionalidades;Primero;2024;0,57
Total Nacional;Ambas nacionalidades;Primero;2023;0,57
Total Nacional;Ambas nacionalidades;Primero;2022;0,6
Total Nacional;Ambas nacionalidades;Primero;2021;0,6
Total Nacional;Ambas nacionalidades;Primero;2020;0,62
Total Nacional;Ambas nacionalidades;Primero;2019;0,63
Total Nacional;Ambas nacionalidades;Primero;2018;0,64
Total Nacional;Ambas nacionalidades;Primero;2017;0,68
Total Nacional;Ambas nacionalidades;Primero;2016;0,7
Total Nacional;Ambas nacionalidades;Primero;2015;0,71
Total Nacional;Ambas nacionalidades;Primero;2014;0,71
Total Nacional;Ambas nacionalidades;Primero;2013;0,7
Total Nacional;Ambas nacionalidades;Primero;2012;0,71
Total Nacional;Ambas nacionalidades;Primero;2011;0,73
Total Nacional;Ambas nacionalidades;Primero;2010;0,74
Total Nacional;Ambas nacionalidades;Primero;2009;0,76
Total Nacional;Ambas nacionalidades;Primero;2008;0,79
Total Nacional;Ambas nacionalidades;Primero;2007;0,81
Total Nacional;Ambas nacionalidades;Primero;2006;0,76
Total Nacional;Ambas nacionalidades;Primero;2005;0,74
Total Nacional;Ambas nacionalidades;Primero;2004;0,72
Total Nacional;Ambas nacionalidades;Primero;2003;0,71
Total Nacional;Ambas nacionalidades;Primero;2002;0,68
Total Nacional;Ambas nacionalidades;Primero;2001;0,66
Total Nacional;Ambas nacionalidades;Primero;2000;0,64
Total Nacional;Ambas nacionalidades;Primero;1999;0,61
Total Nacional;Ambas nacionalidades;Primero;1998;0,58
Total Nacional;Ambas nacionalidades;Primero;1997;0,58
Total Nacional;Ambas nacionalidades;Primero;1996;0,56
Total Nacional;Ambas nacionalidades;Primero;1995;0,58
Total Nacional;Ambas nacionalidades;Primero;1994;0,61
Total Nacional;Ambas nacionalidades;Primero;1993;0,64
Total Nacional;Ambas nacionalidades;Primero;1992;0,67
Total Nacional;Ambas nacionalidades;Primero;1991;0,66
Total Nacional;Ambas nacionalidades;Primero;1990;0,66
Total Nacional;Ambas nacionalidades;Primero;1989;0,68
Total Nacional;Ambas nacionalidades;Primero;1988;0,69
Total Nacional;Ambas nacionalidades;Primero;1987;0,69
Total Nacional;Ambas nacionalidades;Primero;1986;0,66
Total Nacional;Ambas nacionalidades;Primero;1985;0,72
Total Nacional;Ambas nacionalidades;Primero;1984;0,74
Total Nacional;Ambas nacionalidades;Primero;1983;0,75
Total Nacional;Ambas nacionalidades;Primero;1982;0,8
Total Nacional;Ambas nacionalidades;Primero;1981;0,83
Total Nacional;Ambas nacionalidades;Primero;1980;0,9
Total Nacional;Ambas nacionalidades;Primero;1979;0,91
Total Nacional;Ambas nacionalidades;Primero;1978;0,94
Total Nacional;Ambas nacionalidades;Primero;1977;0,98
Total Nacional;Ambas nacionalidades;Primero;1976;1,02
Total Nacional;Ambas nacionalidades;Primero;1975;1
Total Nacional;Ambas nacionalidades;Segundo;2024;0,39
Total Nacional;Ambas nacionalidades;Segundo;2023;0,4
Total Nacional;Ambas nacionalidades;Segundo;2022;0,4
Total Nacional;Ambas nacionalidades;Segundo;2021;0,42
Total Nacional;Ambas nacionalidades;Segundo;2020;0,41
Total Nacional;Ambas nacionalidades;Segundo;2019;0,44
Total Nacional;Ambas nacionalidades;Segundo;2018;0,46
Total Nacional;Ambas nacionalidades;Segundo;2017;0,48
Total Nacional;Ambas nacionalidades;Segundo;2016;0,49
Total Nacional;Ambas nacionalidades;Segundo;2015;0,48
Total Nacional;Ambas nacionalidades;Segundo;2014;0,47
Total Nacional;Ambas nacionalidades;Segundo;2013;0,45
Total Nacional;Ambas nacionalidades;Segundo;2012;0,48
Total Nacional;Ambas nacionalidades;Segundo;2011;0,48
Total Nacional;Ambas nacionalidades;Segundo;2010;0,49
Total Nacional;Ambas nacionalidades;Segundo;2009;0,48
Total Nacional;Ambas nacionalidades;Segundo;2008;0,51
