Edifici,Estat,id,X_ETRS89,Any_Auditoria,Punt_Recarrega_Public,Bicing_(<100m),Data_Distintiu,Places_Public_Interior,Nom_Via,Longitud,Inflador_Public,Y_ETRS89,Codi_Barri,Latitud,Codi_Districte,Punt_Autoreparacio_Public,Places_Public_Exterior_<25m,Nom_Districte,Numero_Via,Nom_Barri,_id,Places_Exclusiu_Personal
Cases Consistorials,Edifici Amic de la Bici,1,431230.34,2015,Sí,Sí,Octubre 2016,14,Carrer dels gegants,2.1775,No,4581482.742,2,41.3819,1,No,0,Ciutat Vella,1,el Gòtic,1,30
Seu de Districte Gràcia,Edifici Amic de la Bici,2,429602.199,2015,No,No,Març 2022,0,Plaça de la Vila de Gràcia,2.1578,No,4583505.42,31,41.4,6,No,10,Gràcia,2,Vila de Gràcia,2,18
Oficines Diagonal 240,Edifici Amic de la Bici,3,432325.715,2015,No,Sí,Gener 2019,10,Avinguda Diagonal,2.1903,No,4583977.808,66,41.4044,10,No,0,Sant Martí,240,el Parc i la Llacuna del Poblenou ,3,8
Seu del Districte de Sants,Edifici en procés de millora,4,428276.803,2016,No,Sí,,0,Carrer de la Creu Coberta,2.1423,No,4580780.298,15,41.3753,3,No,0,Sants-Montjuic,104-106,Hostafrancs,4,3
Centre cívic cotxeres de Sants,Edifici en procés de millora,5,427823.531,2016,No,Sí,,0,Carrer de Sants,2.1368,No,4580780.223,18,41.3753,3,No,38,Sants-Montjuic,79,Sants,5,0
Oficines d'Ecologia Urbana al carrer Torrent de l'Olla ,Edifici Amic de la Bici,6,429172.229,2016,No,Sí,Desembre 2018,11,Carrer del Torrent de l'Olla,2.1526,No,4584207.268,31,41.4062,6,No,10,Gràcia,212-220,Vila de Gràcia,6,20
Barcelona Activa - Seu Central,Edifici Amic de la Bici,7,432495.456,2016,No,Sí,Desembre 2023,14,Carrer de la LLacuna,2.1923,No,4584163.213,71,41.4061,10,No,10,Sant Martí,162,Provençals del Poblenou,7,10
Barcelona Activa - Nord,Edifici Amic de la Bici,8,430583.16,2016,No,Sí,Desembre 2023,2,"Parc Tecnològic, Marie Curie",2.169,No,4587598.351,48,41.4369,8,No,0,Nou Barris,8-14,la Guineueta,8,5
Prefectura de la Guàrdia Urbana de Barcelona,Edifici en procés de millora,9,429237.15,2016,No,Sí,,0,Carrer de la Guàrdia Urbana,2.1538,No,4580410.569,11,41.3721,3,No,10,Sants-Montjuic,3,el Poble Sec,9,0
OAC d'Horta,Edifici en procés de millora,10,430574.841,2016,No,Sí,,1,Carrer de Lepant,2.1693,No,4584597.275,33,41.4099,7,No,14,Horta-Guinardó,387,el Baix Guinardó,10,0
Seu del Districte de Nou Barris,Edifici Amic de la Bici,11,430708.858,2016,Sí,Sí,Desembre 2018,4,Plaça Major de Nou Barris,2.1706,No,4587561.798,48,41.4366,8,No,10,Nou Barris,1,la Guineueta,11,14
Oficines del carrer Pi Sunyer,Edifici cancel·lat,12,430933.026,2016,No,Sí,,4,Plaça de Carles Pi i Sunyer,2.1739,No,4581847.802,2,41.3851,1,No,12,Ciutat Vella,8,el Gòtic,12,0
B:SM - Oficines Corporatives,Edifici Amic de la Bici,13,429514.736,2016,Sí,Sí,Març 2022,0,Carrer de Calàbria,2.157,No,4581090.553,10,41.3782,2,No,30,Eixample,66,Sant Antoni,13,36
ICUB - Born Centre Cultural,Edifici en procés de millora,14,431733.123,2016,No,Sí,,7,Plaça Comercial,2.1835,No,4581888.764,4,41.3856,1,No,10,Ciutat Vella,12,"Sant Pere, Santa Caterina i la Ribera",14,0
ICUB - Via Sepulcral,Edifici cancel·lat,15,430771.03,2016,No,No,,0,Plaça de la Vila de Madrid,2.172,No,4581788.962,2,41.3846,1,No,54,Ciutat Vella,,el Gòtic,15,0
ICUB - DHUB,Edifici Amic de la Bici,16,432121.049,2016,No,Sí,Abril 2021,16,Plaça de les Glòries Catalanes,2.1879,No,4583768.198,66,41.4025,10,No,30,Sant Martí,37,el Parc i la Llacuna del Poblenou ,16,12
ICUB - La Virreina Centre de la Imatge,Edifici Amic de la Bici,17,430748.961,2016,No,No,Desembre 2018,5,La Rambla,2.1717,No,4581549.144,1,41.3824,1,No,0,Ciutat Vella,99,el Raval,17,15
ICUB - Museu Etnològic,Edifici Amic de la Bici,18,429415.125,2016,No,No,Març 2022,4,Passeig de Santa Madrona,2.1559,Sí,4580058.863,11,41.3689,3,No,10,Sants-Montjuic,16,el Poble Sec,18,0
ICUB - Museu Marès,Edifici Amic de la Bici,19,431174.037,2016,No,Sí,Desembre 2018,2,Plaça Sant Iu,2.1768,No,4581730.969,2,41.3841,1,No,0,Ciutat Vella,5,el Gòtic,19,0
Seu del Districte d'Horta,Edifici Amic de la Bici,20,430350.244,2016,No,No,Desembre 2018,4,Ronda del Guinardó,2.1666,Sí,4584923.764,33,41.4128,7,No,16,Horta-Guinardó,49,el Baix Guinardó,20,0
IMEB,Edifici en procés de millora,21,428756.054,2016,No,Sí,,0,Plaça Espanya,2.148,No,4580742.21,15,41.375,3,No,8,Sants-Montjuic,5,Hostafrancs,21,5
La Fàbrica del Sol,Edifici Amic de la Bici,22,432412.956,2017,Sí,Sí,Novembre 2017,14,Passeig de Salvat Papasseit,2.1916,Sí,4581516.23,3,41.3823,1,Sí,12,Ciutat Vella,1,la Barceloneta,22,7
Espai Jove la Fontana,Edifici Amic de la Bici,23,429171.001,2017,No,Sí,,8,Carrer Gran de Gràcia,2.1526,Sí,4583792.01,31,41.4025,6,Sí,8,Gràcia,190-192,Vila de Gràcia,23,0
Institut del Paisatge Urbà,Edifici cancel·lat,24,431100.908,2017,No,Sí,,0,Av. de les Drassanes,2.176,No,4580854.12,1,41.3762,1,No,0,Sants-Montjuic,6,el Raval,24,0
Recursos Humans ESCAR,Edifici en procés de millora,25,432153.717,2017,No,Sí,,4,Carrer de l'Escar,2.1886,No,4580750.544,3,41.3754,1,No,10,Ciutat Vella,1,la Barceloneta,25,0
Barcelona Activa - Almogavers,Edifici cancel·lat,26,432555.577,2017,No,Sí,Desembre 2023,0,Carrer dels Almogàvers,2.1931,No,4583421.234,66,41.3995,10,No,0,Sant Martí,165,el Parc i la Llacuna del Poblenou ,26,7
Pati Llimona,Edifici en procés de millora,27,431370.399,2017,No,Sí,,14,Carrer del Regomir,2.1792,No,4581463.21,2,41.3817,1,No,0,Ciutat Vella,3,el Gòtic,27,0
Recursos Humans Avinyo,Edifici Amic de la Bici,28,431101.499,2017,No,Sí,Desembre 2017,2,Carrer d'Avinyó,2.176,No,4581444.28,2,41.3815,1,No,0,Ciutat Vella,7,el Gòtic,28,7
Espai Jove Garcilaso,Edifici en procés de millora,29,431972.028,2017,No,Sí,,1,Carrer de Garcilaso,2.1859,No,4585997.39,61,41.4226,9,No,8,Sant Andreu,103,la Sagrera,29,0
Edifici d'oficines Pallach,Edifici en procés de millora,30,432512.196,2017,No,Sí,,5,Carrer Segadors,2.1921,No,4587578.273,60,41.4369,9,No,8,Sant Andreu,2,Sant Andreu,30,0
Seu de Districte de Sant Andreu,Edifici en procés de millora,31,432388.303,2017,No,Sí,,0,Plaça d'Orfila,2.1907,No,4587464.876,60,41.4359,9,No,42,Sant Andreu,1,Sant Andreu,31,0
BIMSA,Edifici cancel·lat,32,432738.808,2018,No,Sí,Juliol 2022,0,Carrer de Bolívia,2.1952,No,4584160.711,71,41.4061,10,No,10,Sant Martí,105,Provençals del Poblenou,32,48
